timestamp,x_m,y_m,magnitude_h2,laser_distance_cm
2026-05-13T12:29:47.770096,-0.4487,0.0038,4.131871,4.400
2026-05-13T12:29:47.790069,-0.4487,0.0038,3.682904,4.400
2026-05-13T12:29:47.811042,-0.4487,0.0038,3.217685,4.300
2026-05-13T12:29:47.831025,-0.4487,0.0038,3.256148,4.300
2026-05-13T12:29:47.853039,-0.4487,0.0038,3.089773,4.100
2026-05-13T12:29:47.871972,-0.4487,0.0038,2.922874,4.100
2026-05-13T12:29:47.894011,-0.4488,0.0037,2.621100,4.400
2026-05-13T12:29:47.912925,-0.4488,0.0037,2.520350,4.400
2026-05-13T12:29:47.933929,-0.4488,0.0037,2.375187,4.400
2026-05-13T12:29:47.954928,-0.4488,0.0037,2.327351,4.300
2026-05-13T12:29:47.974858,-0.4488,0.0037,2.182937,4.300
2026-05-13T12:29:47.995881,-0.4488,0.0037,2.012092,4.200
2026-05-13T12:29:48.015902,-0.4488,0.0037,1.790285,4.200
2026-05-13T12:29:48.035789,-0.4488,0.0037,1.807587,4.200
2026-05-13T12:29:48.057814,-0.4488,0.0037,1.613231,4.400
2026-05-13T12:29:48.076750,-0.4488,0.0037,1.758402,4.400
2026-05-13T12:29:48.098805,-0.4488,0.0037,1.452128,4.100
2026-05-13T12:29:48.117700,-0.4488,0.0037,1.556790,4.100
2026-05-13T12:29:48.139724,-0.4488,0.0037,1.400988,4.400
2026-05-13T12:29:48.158657,-0.4488,0.0037,1.371777,4.400
2026-05-13T12:29:48.179628,-0.4488,0.0037,1.213109,4.400
2026-05-13T12:29:48.200663,-0.4488,0.0037,1.088708,4.200
2026-05-13T12:29:48.220589,-0.4488,0.0037,1.133903,4.200
2026-05-13T12:29:48.241607,-0.4488,0.0037,1.065579,4.400
2026-05-13T12:29:48.261532,-0.4488,0.0037,1.046732,4.400
2026-05-13T12:29:48.281517,-0.4488,0.0037,0.986908,4.400
2026-05-13T12:29:48.303551,-0.4488,0.0037,1.109216,4.100
2026-05-13T12:29:48.322938,-0.4488,0.0037,0.964567,4.100
2026-05-13T12:29:48.344491,-0.4488,0.0037,0.808976,4.400
2026-05-13T12:29:48.363425,-0.4488,0.0037,0.846117,4.400
2026-05-13T12:29:48.384419,-0.4488,0.0037,0.813327,4.400
2026-05-13T12:29:48.404429,-0.4488,0.0037,0.746976,4.300
2026-05-13T12:29:48.425419,-0.4488,0.0037,0.843056,4.300
2026-05-13T12:29:48.446414,-0.4488,0.0037,0.702778,4.100
2026-05-13T12:29:48.466307,-0.4488,0.0037,0.716154,4.100
2026-05-13T12:29:48.487329,-0.4488,0.0037,0.655617,4.100
2026-05-13T12:29:48.507262,-0.4488,0.0037,0.825994,4.100
2026-05-13T12:29:48.527246,-0.4488,0.0037,0.769659,4.100
2026-05-13T12:29:48.549269,-0.4488,0.0037,0.580046,4.300
2026-05-13T12:29:48.568202,-0.4488,0.0037,0.584716,4.300
2026-05-13T12:29:48.590219,-0.4488,0.0037,0.618423,4.500
2026-05-13T12:29:48.609152,-0.4488,0.0037,0.679123,4.500
2026-05-13T12:29:48.630128,-0.4488,0.0037,0.550349,4.500
2026-05-13T12:29:48.651158,-0.4488,0.0037,0.579237,4.600
2026-05-13T12:29:48.671080,-0.4488,0.0037,0.573235,4.600
2026-05-13T12:29:48.692108,-0.4488,0.0037,0.583623,4.400
2026-05-13T12:29:48.712037,-0.4488,0.0037,0.467275,4.400
2026-05-13T12:29:48.733065,-0.4488,0.0037,0.497053,4.400
2026-05-13T12:29:48.753004,-0.4488,0.0037,0.376252,4.400
2026-05-13T12:29:48.772969,-0.4488,0.0037,0.402223,4.400
2026-05-13T12:29:48.795002,-0.4488,0.0037,0.349801,4.400
2026-05-13T12:29:48.813933,-0.4488,0.0037,0.357040,4.400
2026-05-13T12:29:48.835950,-0.4488,0.0037,0.473108,4.500
2026-05-13T12:29:48.854909,-0.4488,0.0037,0.365579,4.500
2026-05-13T12:29:48.875871,-0.4488,0.0037,0.343947,4.500
2026-05-13T12:29:48.896884,-0.4488,0.0037,0.437523,4.300
