timestamp,pkt,real,imag,mag
2026-05-13T12:36:59.343916,1,-0.1171034649014473,0.29858797788619995,0.3207304195583798
2026-05-13T12:36:59.363830,2,0.13257183134555817,-0.018550250679254532,0.1338633716390645
2026-05-13T12:36:59.384894,3,-0.21795955300331116,-0.21566744148731232,0.30662487189249094
2026-05-13T12:36:59.404806,4,0.13321641087532043,0.29673194885253906,0.3252636801063532
2026-05-13T12:36:59.424769,5,0.11708009988069534,-0.14214910566806793,0.1841578617119159
2026-05-13T12:36:59.445761,6,-0.057136498391628265,-0.04519978165626526,0.0728532752196536
2026-05-13T12:36:59.465729,7,0.07239168137311935,0.09537088871002197,0.11973371265172826
2026-05-13T12:36:59.487774,8,-0.007340321317315102,-0.04062530770897865,0.04128311935271644
2026-05-13T12:36:59.506689,9,-0.09685005247592926,-0.20976990461349487,0.23104836192049705
2026-05-13T12:36:59.528744,10,-0.006450669839978218,0.22704146802425385,0.22713308729463588
2026-05-13T12:36:59.547655,11,0.08679067343473434,-0.037298932671546936,0.09446603290967232
2026-05-13T12:36:59.568635,12,0.12040906399488449,0.05007421225309372,0.13040617096169976
2026-05-13T12:36:59.589685,13,-0.3016473054885864,-0.1144418865442276,0.32262678485260093
2026-05-13T12:36:59.609588,14,0.12152141332626343,0.11125613749027252,0.1647585567613014
2026-05-13T12:36:59.630645,15,0.09917712211608887,-0.03896600380539894,0.10655726631155647
2026-05-13T12:36:59.650546,16,-0.21069848537445068,0.05754620581865311,0.21841569893945442
2026-05-13T12:36:59.670525,17,0.3427445888519287,-0.05131717026233673,0.34656500854963895
2026-05-13T12:36:59.692572,18,-0.327804297208786,-0.06587578356266022,0.33435800592858633
2026-05-13T12:36:59.711494,19,0.12465989589691162,0.07968832552433014,0.1479537727464239
2026-05-13T12:36:59.733539,20,0.11856471002101898,-0.054987601935863495,0.13069516758099856
2026-05-13T12:36:59.752476,21,-0.2381681501865387,-0.18454039096832275,0.30129590714448656
2026-05-13T12:36:59.774500,22,0.23985186219215393,0.1584426313638687,0.2874595332051988
2026-05-13T12:36:59.793414,23,-0.15529052913188934,0.06766980141401291,0.16939406855458108
2026-05-13T12:36:59.814385,24,0.18552947044372559,0.06316830962896347,0.19598831532647512
2026-05-13T12:36:59.835427,25,-0.21995964646339417,-0.2236461043357849,0.3136874655718238
2026-05-13T12:36:59.855352,26,-0.051371097564697266,0.3097658157348633,0.3139965768330714
2026-05-13T12:36:59.876387,27,0.18053513765335083,-0.20098146796226501,0.27016011251067634
2026-05-13T12:36:59.896299,28,-0.10162237286567688,-0.08380018174648285,0.13171779351171284
2026-05-13T12:36:59.916307,29,0.02926453948020935,0.22521227598190308,0.22710566378656788
2026-05-13T12:36:59.938366,30,0.18577204644680023,-0.18575122952461243,0.2627066282204112
2026-05-13T12:36:59.957322,31,-0.19070182740688324,-0.07980981469154358,0.20672879213458198
2026-05-13T12:36:59.979288,32,-0.024546518921852112,0.16519345343112946,0.1670072113643108
2026-05-13T12:36:59.998201,33,0.1581047624349594,0.12453481554985046,0.20126111444750133
2026-05-13T12:37:00.019188,34,-0.10745756328105927,-0.20249003171920776,0.2292364300279269
2026-05-13T12:37:00.039154,35,0.051396444439888,0.0391087606549263,0.06458397371660253
2026-05-13T12:37:00.060137,36,0.008311182260513306,-0.05777275934815407,0.058367520705159256
2026-05-13T12:37:00.081220,37,-0.02158653736114502,0.0998222753405571,0.10212964921808997
2026-05-13T12:37:00.101104,38,-0.03281138092279434,-0.13000789284706116,0.13408444697500768
2026-05-13T12:37:00.122148,39,-0.1263395994901657,0.18927918374538422,0.22757043700501697
2026-05-13T12:37:00.142067,40,0.25192031264305115,-0.08794617652893066,0.266830234209376
2026-05-13T12:37:00.162039,41,-0.29950347542762756,-0.09572432190179825,0.31442881165183734
2026-05-13T12:37:00.184095,42,0.19086004793643951,0.15458744764328003,0.24561114972078085
2026-05-13T12:37:00.202993,43,-0.08226501941680908,-0.23886790871620178,0.2526369158181355
2026-05-13T12:37:00.225039,44,-0.002488180994987488,0.14768657088279724,0.14770752947559346
2026-05-13T12:37:00.243960,45,-0.05246813967823982,0.029366031289100647,0.06012711098138445
2026-05-13T12:37:00.264929,46,0.09580668807029724,0.10576994717121124,0.14271020707573812
2026-05-13T12:37:00.285300,47,-0.07558134943246841,-0.3417411744594574,0.3499993867179801
2026-05-13T12:37:00.305893,48,0.010938286781311035,0.40724411606788635,0.4073909868782375
2026-05-13T12:37:00.326937,49,-0.1584576964378357,-0.35927706956863403,0.3926688863128964
2026-05-13T12:37:00.346885,50,0.13741007447242737,0.312348335981369,0.34123747091556084
2026-05-13T12:37:00.367916,51,0.05932534858584404,-0.2728797197341919,0.279254075041069
2026-05-13T12:37:00.387813,52,-0.05085038021206856,0.17124277353286743,0.1786332798079374
2026-05-13T12:37:00.407788,53,-0.0031853429973125458,-0.16034351289272308,0.16037514937417638
2026-05-13T12:37:00.429859,54,-0.06820161640644073,0.03993656486272812,0.07903410462253732
2026-05-13T12:37:00.448745,55,-0.027909230440855026,0.17598190903663635,0.17818124887871817
2026-05-13T12:37:00.470792,56,0.2232092320919037,-0.1794598400592804,0.28640564848682687
2026-05-13T12:37:00.489707,57,-0.2304781675338745,0.21228380501270294,0.31334421899955966
2026-05-13T12:37:00.510699,58,0.2275991290807724,-0.15480634570121765,0.2752569131333326
2026-05-13T12:37:00.531732,59,-0.31070929765701294,0.08485697954893112,0.32208845777003864
2026-05-13T12:37:00.551658,60,0.33326444029808044,-0.15682624280452728,0.3683200477836869
2026-05-13T12:37:00.572702,61,-0.3164612650871277,0.07036187499761581,0.32418902781205505
2026-05-13T12:37:00.592599,62,0.15830905735492706,0.03373795002698898,0.16186416191556793
2026-05-13T12:37:00.612583,63,0.018047653138637543,0.07654564082622528,0.07864447160042504
2026-05-13T12:37:00.633555,64,-0.1739266961812973,-0.1456422358751297,0.2268527198762409
2026-05-13T12:37:00.653547,65,0.16577903926372528,0.14691409468650818,0.22150946046785464
2026-05-13T12:37:00.675582,66,-0.11617963761091232,-0.1295260787010193,0.17399630242929173
2026-05-13T12:37:00.694496,67,0.21035315096378326,0.002462238073348999,0.21036756103715715
2026-05-13T12:37:00.716544,68,-0.3626016676425934,0.16075396537780762,0.39663813074624976
2026-05-13T12:37:00.735451,69,0.3200024366378784,-0.14355246722698212,0.3507262041837381
2026-05-13T12:37:00.756425,70,-0.19956974685192108,-0.09880959987640381,0.22269131300137165
2026-05-13T12:37:00.777482,71,0.054126158356666565,0.22148987650871277,0.22800747008441583
2026-05-13T12:37:00.797417,72,-0.07232587784528732,-0.17777034640312195,0.19192011011454063
2026-05-13T12:37:00.818429,73,-0.0482730008661747,0.1282169669866562,0.1370031869552055
2026-05-13T12:37:00.838347,74,0.03761177510023117,-0.18210791051387787,0.18595143639649822
2026-05-13T12:37:00.858345,75,0.056301284581422806,0.13722684979438782,0.14832748548401214
2026-05-13T12:37:00.879336,76,-0.13346870243549347,-0.1651725172996521,0.21235784657252055
2026-05-13T12:37:00.899335,77,0.2540374994277954,0.10034368187189102,0.27313715530321836
2026-05-13T12:37:00.921334,78,-0.1958279013633728,0.07961367815732956,0.21139277353334887
2026-05-13T12:37:00.940238,79,0.35928022861480713,-0.26920345425605774,0.4489463024203468
2026-05-13T12:37:00.962278,80,-0.6061999797821045,0.25451821088790894,0.6574632576512591
2026-05-13T12:37:00.981206,81,0.37764525413513184,-0.15752631425857544,0.40918269471555097
2026-05-13T12:37:01.002174,82,-0.26490727066993713,0.12397785484790802,0.2924831115577176
2026-05-13T12:37:01.023224,83,0.3019029498100281,0.11806647479534149,0.32416829514095813
2026-05-13T12:37:01.043131,84,-0.18803396821022034,-0.36635270714759827,0.41179009123005383
2026-05-13T12:37:01.064189,85,0.007074788212776184,0.2551385760307312,0.2552366462858436
2026-05-13T12:37:01.084096,86,0.09418624639511108,-0.27426964044570923,0.2899911803490223
2026-05-13T12:37:01.104072,87,-0.07543627917766571,0.3362649977207184,0.34462266453076684
2026-05-13T12:37:01.126138,88,0.06373363733291626,-0.27098363637924194,0.27837763508048
2026-05-13T12:37:01.145029,89,-0.12320078909397125,0.163726806640625,0.20490217579643655
2026-05-13T12:37:01.167077,90,-0.10729872435331345,-0.03938819840550423,0.11429980936764376
2026-05-13T12:37:01.186127,91,0.27645331621170044,-0.030819088220596313,0.2781658718160719
2026-05-13T12:37:01.208042,92,-0.24363455176353455,0.18065878748893738,0.30330742211490874
2026-05-13T12:37:01.226943,93,0.24944913387298584,-0.2651563882827759,0.3640505193474513
2026-05-13T12:37:01.247935,94,-0.14686156809329987,-0.062092967331409454,0.1594486022981777
2026-05-13T12:37:01.268973,95,0.012110162526369095,0.34345096349716187,0.3436644007800981
2026-05-13T12:37:01.288889,96,-0.018034636974334717,-0.2169206589460373,0.21766906167018563
2026-05-13T12:37:01.309939,97,-0.0056885890662670135,0.073505699634552,0.07372549032953142
2026-05-13T12:37:01.330088,98,0.02070976234972477,-0.1526675522327423,0.15406581632964264
2026-05-13T12:37:01.349825,99,0.013916755095124245,0.15260213613510132,0.15323540069244332
2026-05-13T12:37:01.371877,100,-0.03339792415499687,-0.05649655684828758,0.06562988856896462
2026-05-13T12:37:01.390788,101,-0.09826870262622833,0.08052372187376022,0.12704647850391126
2026-05-13T12:37:01.412829,102,0.1721443235874176,-0.114291712641716,0.2066307424415499
2026-05-13T12:37:01.431738,103,-0.11741569638252258,0.12445644289255142,0.1711018758940405
2026-05-13T12:37:01.452726,104,0.1010500118136406,-0.04059255123138428,0.1088983934822248
2026-05-13T12:37:01.472687,105,-0.1455950289964676,-0.1749185025691986,0.2275838197445789
2026-05-13T12:37:01.493687,106,-0.03547665476799011,0.10514660179615021,0.11097027035564676
2026-05-13T12:37:01.514723,107,-0.07536713033914566,0.08227260410785675,0.11157502284223784
2026-05-13T12:37:01.534627,108,0.15676867961883545,-0.1272776871919632,0.20193075190858945
2026-05-13T12:37:01.555681,109,0.011070191860198975,-0.04346767067909241,0.04485518411608234
2026-05-13T12:37:01.575602,110,-0.1007976308465004,0.2033981829881668,0.2270043682997205
2026-05-13T12:37:01.595574,111,0.0729156881570816,-0.1899775266647339,0.203489946230939
2026-05-13T12:37:01.617622,112,-0.055008936673402786,0.24591070413589478,0.25198820909429476
2026-05-13T12:37:01.636544,113,-0.03702140599489212,-0.2215917557477951,0.22466306041988549
2026-05-13T12:37:01.658574,114,0.1007504090666771,0.11622245609760284,0.1538125619982386
2026-05-13T12:37:01.677489,115,-0.14572489261627197,-0.03189051151275635,0.14917355346229855
2026-05-13T12:37:01.698462,116,0.11451514065265656,0.02789127826690674,0.11786280516795677
2026-05-13T12:37:01.719528,117,-0.055840007960796356,-0.097397081553936,0.11226886471451407
2026-05-13T12:37:01.739427,118,0.10874849557876587,-0.07661911845207214,0.13302903669130858
2026-05-13T12:37:01.760469,119,-0.24507206678390503,0.2810654938220978,0.372904987544005
2026-05-13T12:37:01.780401,120,0.3920324444770813,-0.3862527310848236,0.5503459001329627
2026-05-13T12:37:01.801449,121,-0.3651351034641266,0.4170488119125366,0.5543043886705361
2026-05-13T12:37:01.821377,122,0.25951436161994934,-0.27431419491767883,0.37761883086035863
2026-05-13T12:37:01.841374,123,-0.19252106547355652,0.22632905840873718,0.2971349917651218
2026-05-13T12:37:01.863456,124,0.1882297396659851,-0.16676127910614014,0.2514751659783536
