timestamp,x_m,y_m,magnitude_h2,laser_distance_cm
2026-05-12T14:33:39.793374,-0.1022,-0.0888,0.076996,4.500
2026-05-12T14:33:39.812304,-0.1022,-0.0888,0.220030,4.500
2026-05-12T14:33:39.834336,-0.1022,-0.0888,0.098685,4.400
2026-05-12T14:33:39.853275,-0.1022,-0.0888,0.098394,4.400
2026-05-12T14:33:39.874250,-0.1022,-0.0888,0.126205,4.400
2026-05-12T14:33:39.894230,-0.1022,-0.0888,0.071723,4.400
2026-05-12T14:33:39.915225,-0.1022,-0.0888,0.125550,4.400
2026-05-12T14:33:39.936244,-0.1022,-0.0888,0.218895,4.400
2026-05-12T14:33:39.956176,-0.1022,-0.0888,0.214831,4.400
2026-05-12T14:33:39.977228,-0.1022,-0.0888,0.085939,4.600
2026-05-12T14:33:39.997147,-0.1022,-0.0888,0.239586,4.600
2026-05-12T14:33:40.017121,-0.1022,-0.0888,0.034340,4.600
2026-05-12T14:33:40.039151,-0.1022,-0.0888,0.074865,4.600
2026-05-12T14:33:40.058083,-0.1022,-0.0888,0.166880,4.600
2026-05-12T14:33:40.080127,-0.1022,-0.0888,0.028497,4.600
2026-05-12T14:33:40.099073,-0.1022,-0.0888,0.264368,4.600
2026-05-12T14:33:40.120078,-0.1022,-0.0888,0.171055,4.600
2026-05-12T14:33:40.141123,-0.1022,-0.0888,0.019601,4.500
2026-05-12T14:33:40.161077,-0.1022,-0.0888,0.150385,4.500
2026-05-12T14:33:40.182021,-0.1022,-0.0888,0.312574,4.600
2026-05-12T14:33:40.201970,-0.1022,-0.0888,0.357320,4.600
2026-05-12T14:33:40.222987,-0.1022,-0.0888,0.270875,4.700
2026-05-12T14:33:40.242921,-0.1022,-0.0888,0.277686,4.700
2026-05-12T14:33:40.262903,-0.1022,-0.0888,0.161631,4.700
2026-05-12T14:33:40.284936,-0.1022,-0.0888,0.029149,4.700
2026-05-12T14:33:40.303865,-0.1022,-0.0888,0.149248,4.700
2026-05-12T14:33:40.325904,-0.1022,-0.0888,0.101784,4.500
2026-05-12T14:33:40.344823,-0.1022,-0.0888,0.190582,4.500
2026-05-12T14:33:40.365805,-0.1022,-0.0888,0.072774,4.500
2026-05-12T14:33:40.386850,-0.1022,-0.0888,0.057407,4.600
2026-05-12T14:33:40.406771,-0.1022,-0.0888,0.042877,4.600
2026-05-12T14:33:40.427800,-0.1022,-0.0888,0.089960,4.600
2026-05-12T14:33:40.447733,-0.1022,-0.0888,0.071918,4.600
2026-05-12T14:33:40.467761,-0.1022,-0.0888,0.124663,4.600
2026-05-12T14:33:40.488702,-0.1022,-0.0888,0.173715,4.700
2026-05-12T14:33:40.508677,-0.1022,-0.0888,0.085642,4.700
2026-05-12T14:33:40.530712,-0.1022,-0.0888,0.126704,4.500
2026-05-12T14:33:40.549641,-0.1022,-0.0888,0.279961,4.500
2026-05-12T14:33:40.571667,-0.1022,-0.0888,0.223164,4.400
2026-05-12T14:33:40.590606,-0.1022,-0.0888,0.249948,4.400
2026-05-12T14:33:40.611594,-0.1022,-0.0888,0.258280,4.400
2026-05-12T14:33:40.632620,-0.1022,-0.0888,0.201748,4.600
2026-05-12T14:33:40.652551,-0.1022,-0.0888,0.033586,4.600
2026-05-12T14:33:40.673585,-0.1022,-0.0888,0.095268,4.600
2026-05-12T14:33:40.693517,-0.1022,-0.0888,0.081501,4.600
2026-05-12T14:33:40.713498,-0.1022,-0.0888,0.212117,4.600
2026-05-12T14:33:40.735526,-0.1022,-0.0888,0.174141,4.600
2026-05-12T14:33:40.754455,-0.1022,-0.0888,0.165416,4.600
2026-05-12T14:33:40.776496,-0.1022,-0.0888,0.079841,4.700
2026-05-12T14:33:40.795418,-0.1022,-0.0888,0.018148,4.700
2026-05-12T14:33:40.817447,-0.1022,-0.0888,0.081031,4.500
2026-05-12T14:33:40.836380,-0.1022,-0.0888,0.113242,4.500
2026-05-12T14:33:40.857363,-0.1022,-0.0888,0.288642,4.500
2026-05-12T14:33:40.878424,-0.1022,-0.0888,0.240320,4.600
2026-05-12T14:33:40.898338,-0.1022,-0.0888,0.242523,4.600
2026-05-12T14:33:40.919363,-0.1022,-0.0888,0.090037,4.500
2026-05-12T14:33:40.939299,-0.1022,-0.0888,0.055112,4.500
2026-05-12T14:33:40.959275,-0.1022,-0.0888,0.044360,4.500
2026-05-12T14:33:40.981301,-0.1022,-0.0888,0.235826,4.400
2026-05-12T14:33:41.000237,-0.1022,-0.0888,0.064772,4.400
2026-05-12T14:33:41.022265,-0.1022,-0.0888,0.071706,4.500
2026-05-12T14:33:41.041208,-0.1022,-0.0888,0.136290,4.500
2026-05-12T14:33:41.062182,-0.1022,-0.0888,0.210064,4.500
2026-05-12T14:33:41.082181,-0.1022,-0.0888,0.143716,4.600
2026-05-12T14:33:41.103148,-0.1022,-0.0888,0.139794,4.600
2026-05-12T14:33:41.124176,-0.1022,-0.0888,0.067021,4.700
2026-05-12T14:33:41.144122,-0.1022,-0.0888,0.091158,4.700
2026-05-12T14:33:41.165164,-0.1022,-0.0888,0.043599,4.500
2026-05-12T14:33:41.185121,-0.1022,-0.0888,0.084098,4.500
2026-05-12T14:33:41.205125,-0.1022,-0.0888,0.151409,4.500
2026-05-12T14:33:41.227171,-0.1022,-0.0888,0.216384,4.300
2026-05-12T14:33:41.246021,-0.1022,-0.0888,0.180049,4.300
2026-05-12T14:33:41.268055,-0.1022,-0.0888,0.094524,4.700
2026-05-12T14:33:41.287002,-0.1022,-0.0887,0.102372,4.700
2026-05-12T14:33:41.307967,-0.1022,-0.0887,0.095688,4.700
2026-05-12T14:33:41.327952,-0.1022,-0.0887,0.063502,4.500
2026-05-12T14:33:41.348927,-0.1022,-0.0887,0.147535,4.500
2026-05-12T14:33:41.369962,-0.1022,-0.0887,0.185512,4.700
2026-05-12T14:33:41.389896,-0.1022,-0.0887,0.182504,4.700
2026-05-12T14:33:41.410929,-0.1022,-0.0887,0.288998,4.500
2026-05-12T14:33:41.430869,-0.1022,-0.0887,0.170830,4.500
2026-05-12T14:33:41.450842,-0.1022,-0.0887,0.075137,4.500
2026-05-12T14:33:41.472326,-0.1022,-0.0887,0.298016,4.600
2026-05-12T14:33:41.491819,-0.1022,-0.0887,0.306267,4.600
2026-05-12T14:33:41.512837,-0.1022,-0.0887,0.338906,4.500
2026-05-12T14:33:41.532769,-0.1022,-0.0887,0.190967,4.500
2026-05-12T14:33:41.552757,-0.1022,-0.0888,0.204092,4.500
2026-05-12T14:33:41.574783,-0.1022,-0.0888,0.166253,4.400
2026-05-12T14:33:41.593719,-0.1022,-0.0888,0.217611,4.400
2026-05-12T14:33:41.615745,-0.1022,-0.0888,0.223629,4.500
2026-05-12T14:33:41.634683,-0.1022,-0.0888,0.054609,4.500
2026-05-12T14:33:41.655660,-0.1022,-0.0888,0.258175,4.500
2026-05-12T14:33:41.675643,-0.1022,-0.0888,0.178091,4.600
2026-05-12T14:33:41.696632,-0.1022,-0.0888,0.193790,4.600
2026-05-12T14:33:41.717657,-0.1022,-0.0888,0.155942,4.500
2026-05-12T14:33:41.737599,-0.1022,-0.0888,0.267450,4.500
2026-05-12T14:33:41.758627,-0.1022,-0.0888,0.212744,4.700
2026-05-12T14:33:41.778552,-0.1022,-0.0888,0.253131,4.700
2026-05-12T14:33:41.798531,-0.1022,-0.0888,0.275344,4.700
2026-05-12T14:33:41.820572,-0.1022,-0.0888,0.270314,4.700
2026-05-12T14:33:41.839492,-0.1022,-0.0888,0.334686,4.700
2026-05-12T14:33:41.861521,-0.1022,-0.0888,0.324050,4.500
2026-05-12T14:33:41.880454,-0.1022,-0.0888,0.232155,4.500
2026-05-12T14:33:41.901445,-0.1022,-0.0888,0.347798,4.500
2026-05-12T14:33:41.921414,-0.1022,-0.0888,0.291253,4.500
2026-05-12T14:33:41.942862,-0.1022,-0.0888,0.206349,4.500
2026-05-12T14:33:41.963425,-0.1022,-0.0888,0.119599,4.800
2026-05-12T14:33:41.983357,-0.1022,-0.0888,0.148320,4.800
2026-05-12T14:33:42.004392,-0.1045,-0.0887,0.128009,4.700
2026-05-12T14:33:42.024322,-0.1045,-0.0887,0.127384,4.700
2026-05-12T14:33:42.044304,-0.1045,-0.0887,0.409078,4.700
2026-05-12T14:33:42.066337,-0.1045,-0.0887,0.379885,4.400
2026-05-12T14:33:42.085274,-0.1045,-0.0887,0.469384,4.400
2026-05-12T14:33:42.107301,-0.1045,-0.0887,0.223764,4.600
2026-05-12T14:33:42.126236,-0.1045,-0.0887,0.539431,4.600
2026-05-12T14:33:42.147217,-0.1045,-0.0887,0.236933,4.600
2026-05-12T14:33:42.168252,-0.1129,-0.0890,0.042606,4.500
2026-05-12T14:33:42.188182,-0.1129,-0.0890,0.529039,4.500
2026-05-12T14:33:42.209222,-0.1129,-0.0890,0.376733,4.600
2026-05-12T14:33:42.229160,-0.1129,-0.0890,0.538657,4.600
2026-05-12T14:33:42.249160,-0.1129,-0.0890,0.673288,4.600
2026-05-12T14:33:42.270160,-0.1129,-0.0890,0.934443,4.600
2026-05-12T14:33:42.290167,-0.1207,-0.0892,1.016633,4.600
2026-05-12T14:33:42.312121,-0.1207,-0.0892,1.192015,4.600
2026-05-12T14:33:42.331282,-0.1207,-0.0892,1.358749,4.600
2026-05-12T14:33:42.353091,-0.1207,-0.0892,1.578734,4.400
2026-05-12T14:33:42.372018,-0.1207,-0.0892,1.388540,4.400
2026-05-12T14:33:42.393004,-0.1277,-0.0892,1.731121,4.400
2026-05-12T14:33:42.414032,-0.1277,-0.0892,1.727547,4.300
2026-05-12T14:33:42.433971,-0.1277,-0.0892,1.931868,4.300
2026-05-12T14:33:42.455002,-0.1277,-0.0892,2.122418,4.400
2026-05-12T14:33:42.474972,-0.1277,-0.0892,2.176803,4.400
2026-05-12T14:33:42.494926,-0.1348,-0.0895,2.357039,4.400
2026-05-12T14:33:42.516941,-0.1348,-0.0895,2.676063,4.700
2026-05-12T14:33:42.535872,-0.1348,-0.0895,2.537543,4.700
2026-05-12T14:33:42.557904,-0.1348,-0.0895,2.598021,4.600
2026-05-12T14:33:42.576838,-0.1348,-0.0895,2.656102,4.600
2026-05-12T14:33:42.598864,-0.1348,-0.0895,2.827867,4.500
2026-05-12T14:33:42.617800,-0.1348,-0.0895,2.789511,4.500
2026-05-12T14:33:42.638785,-0.1448,-0.0896,2.744868,4.500
2026-05-12T14:33:42.659813,-0.1448,-0.0896,2.677148,4.600
2026-05-12T14:33:42.679746,-0.1448,-0.0896,2.754251,4.600
2026-05-12T14:33:42.700779,-0.1448,-0.0896,2.695773,4.600
2026-05-12T14:33:42.720722,-0.1448,-0.0896,2.611425,4.600
2026-05-12T14:33:42.740692,-0.1448,-0.0896,2.676476,4.600
2026-05-12T14:33:42.762726,-0.1531,-0.0900,2.349674,4.600
